timestamp,scan_number,ch_00,ch_01,ch_02,ch_03,ch_04,system_file,system_id
2025-11-25 14:06:37.919,1,34.3113076,33.2829199,31.7862014,32.715806,33.1362801,biomass\25112025.csv,25112025
2025-11-25 14:06:47.912,2,34.4918237,33.1239345,31.8114125,32.7220343,33.1506248,biomass\25112025.csv,25112025
2025-11-25 14:06:57.912,3,34.634423,33.7077845,31.7499129,33.0111746,33.2321666,biomass\25112025.csv,25112025
2025-11-25 14:07:07.912,4,34.8753819,33.8480732,31.8422064,33.0662921,33.2974068,biomass\25112025.csv,25112025
2025-11-25 14:07:17.912,5,34.9525907,33.7689968,31.7856895,33.0206034,33.3511034,biomass\25112025.csv,25112025
2025-11-25 14:07:27.912,6,35.0552138,32.9890544,31.6917514,32.6135682,33.2845375,biomass\25112025.csv,25112025
2025-11-25 14:07:37.912,7,34.8542748,32.3814185,31.8308678,32.230688,33.0538344,biomass\25112025.csv,25112025
2025-11-25 14:07:47.912,8,34.4463204,32.2540789,31.8731878,32.1244927,32.9008883,biomass\25112025.csv,25112025
2025-11-25 14:07:57.912,9,34.086995,32.4602746,32.0511374,32.1042018,32.8632773,biomass\25112025.csv,25112025
2025-11-25 14:08:07.912,10,33.7781966,32.5210893,32.0242212,32.1105166,32.8243408,biomass\25112025.csv,25112025
2025-11-25 14:08:17.912,11,33.9976928,33.0864663,31.8978592,32.5570206,32.9548586,biomass\25112025.csv,25112025
2025-11-25 14:08:27.912,12,34.2396041,33.1335243,31.7429409,32.7531344,33.0614708,biomass\25112025.csv,25112025
2025-11-25 14:08:37.912,13,34.2716917,32.9445152,31.5398766,32.4538529,33.07099,biomass\25112025.csv,25112025
2025-11-25 14:08:47.912,14,34.2185252,32.7293853,31.6886121,32.3152823,33.0202078,biomass\25112025.csv,25112025
2025-11-25 14:08:57.912,15,34.2165121,32.5760667,31.8263884,32.3125421,32.9704343,biomass\25112025.csv,25112025
2025-11-25 14:09:07.912,16,34.4524115,32.7552367,31.9032225,32.4204725,33.0646736,biomass\25112025.csv,25112025
2025-11-25 14:09:17.912,17,34.5579447,32.7458334,31.7435424,32.4242308,33.0933961,biomass\25112025.csv,25112025
2025-11-25 14:09:27.912,18,34.6429237,33.3936903,31.9512528,32.8022287,33.1400399,biomass\25112025.csv,25112025
2025-11-25 14:09:37.912,19,34.7689008,33.9135338,31.9042112,32.9726515,33.2918503,biomass\25112025.csv,25112025
2025-11-25 14:09:47.912,20,34.9381842,33.6689172,31.8783635,32.8354961,33.3078088,biomass\25112025.csv,25112025
2025-11-25 14:09:57.912,21,34.8700859,32.4228316,31.8145746,32.2669459,33.0868875,biomass\25112025.csv,25112025
2025-11-25 14:10:07.912,22,34.8787922,33.1858063,32.0565895,32.7423719,33.1819975,biomass\25112025.csv,25112025
2025-11-25 14:10:17.912,23,34.8150244,33.1052224,31.9584909,32.4941515,33.1870128,biomass\25112025.csv,25112025
2025-11-25 14:10:27.912,24,34.3877427,32.4455626,32.1160737,31.9865714,32.9396993,biomass\25112025.csv,25112025
2025-11-25 14:10:37.912,25,34.0012282,32.3034375,32.2544,31.8205052,32.7724761,biomass\25112025.csv,25112025
2025-11-25 14:10:47.912,26,33.6621151,32.2191307,32.2169328,31.8167925,32.6661915,biomass\25112025.csv,25112025
2025-11-25 14:10:57.912,27,33.6220303,33.3132863,32.341478,32.5640499,32.8167685,biomass\25112025.csv,25112025
2025-11-25 14:11:07.912,28,33.7748432,34.2375753,32.2241123,33.0255365,33.052993,biomass\25112025.csv,25112025
2025-11-25 14:11:17.912,29,33.7565918,32.7285062,31.9460303,32.2608938,32.9377503,biomass\25112025.csv,25112025
2025-11-25 14:11:27.912,30,33.7655954,32.7803007,31.8886866,32.3654066,32.9861128,biomass\25112025.csv,25112025
2025-11-25 14:11:37.912,31,33.9255815,34.159147,32.0920402,33.2859087,33.1579291,biomass\25112025.csv,25112025
2025-11-25 14:11:47.912,32,34.006988,32.6971235,31.8498915,32.2688554,33.0743947,biomass\25112025.csv,25112025
2025-11-25 14:11:57.912,33,34.0329133,32.4868598,31.862682,32.1081826,33.0044762,biomass\25112025.csv,25112025
